#Query (assembly 1) 	 Query (assembly 2)	 Gene name (assembly 2)	UniProt ID (assembly 2)	EC number (assembly 2)
A01p00020.1_BnaDARv10-PA	CDY61895.1	BnaAnng17970D	A0A078JBT0	
A01p00030.1_BnaDARv10-PA	CDY61897.1	BnaAnng17980D	A0A078JC98	
A01p00050.1_BnaDARv10-PA	CDY61899.1	BnaAnng18000D	A0A078J8X0	
A01p00080.1_BnaDARv10-PA	CDY69434.1	BnaCnng63470D	A0A078JRJ8	
A01p00100.1_BnaDARv10-PA	CDY41946.1	BnaA01g05180D	A0A078HW21	
A01p00110.1_BnaDARv10-PA	CDY41947.1	BnaA01g05190D	A0A078HVS6	
A01p00130.1_BnaDARv10-PA	CDY41950.1	BnaA01g05220D	A0A078HTS7	1.3.1.-
A01p00150.1_BnaDARv10-PA	CDY42595.1	BnaC01g00070D	A0A078HVW3	4.1.2.13
A01p00170.1_BnaDARv10-PA	CDY41955.1	BnaA01g05270D	A0A078HTT2	3.2.1.4
A01p00180.1_BnaDARv10-PA	CDY41956.1	BnaA01g05280D	A0A078HW30	
A01p00200.1_BnaDARv10-PA	CDY41958.1	BnaA01g05300D	A0A078HZ05	
A01p00210.1_BnaDARv10-PA	CDY41960.1	BnaA01g05320D	A0A078HTU1	
A01p00220.1_BnaDARv10-PA	CDY41961.1	BnaA01g05330D	A0A078HW34	
A01p00230.1_BnaDARv10-PA	CDY41962.1	BnaA01g05340D	A0A078HVU1	
A01p00240.1_BnaDARv10-PA	CDY41963.1	BnaA01g05350D	A0A078HZ10	
A01p00250.1_BnaDARv10-PA	CDY41964.1	BnaA01g05360D	A0A078HX52	
A01p00260.1_BnaDARv10-PA	CDY41965.1	BnaA01g05370D	A0A078HTU9	
A01p00270.1_BnaDARv10-PA	CDY41966.1	BnaA01g05380D	A0A078HW40	
A01p00320.1_BnaDARv10-PA	CDY41971.1	BnaA01g05430D	A0A078HW45	
A01p00330.1_BnaDARv10-PA	CDY41973.1	BnaA01g05450D	A0A078HZ23	2.4.1.12
A01p00350.1_BnaDARv10-PA	CDY41976.1	BnaA01g05480D	A0A078HW51	
A01p00370.1_BnaDARv10-PA	CDY41978.1	BnaA01g05500D	A0A078HZ29	
A01p00380.1_BnaDARv10-PA	CDY41979.1	BnaA01g05510D	A0A078HX77	
A01p00390.1_BnaDARv10-PA	CDY41980.1	BnaA01g05520D	A0A078HTW8	
A01p00400.1_BnaDARv10-PA	CDY41981.1	BnaA01g05530D	A0A078HW55	
