#Assembly 1	Assembly 2
A01p00020.1_BnaDARv10-PA	CDY61895.1
A01p00030.1_BnaDARv10-PA	CDY61897.1
A01p00050.1_BnaDARv10-PA	CDY61899.1
A01p00080.1_BnaDARv10-PA	CDY69434.1
A01p00100.1_BnaDARv10-PA	CDY41946.1
A01p00110.1_BnaDARv10-PA	CDY41947.1
A01p00130.1_BnaDARv10-PA	CDY41950.1
A01p00150.1_BnaDARv10-PA	CDY42595.1
A01p00170.1_BnaDARv10-PA	CDY41955.1
A01p00180.1_BnaDARv10-PA	CDY41956.1
A01p00200.1_BnaDARv10-PA	CDY41958.1
A01p00210.1_BnaDARv10-PA	CDY41960.1
A01p00220.1_BnaDARv10-PA	CDY41961.1
A01p00230.1_BnaDARv10-PA	CDY41962.1
A01p00240.1_BnaDARv10-PA	CDY41963.1
A01p00250.1_BnaDARv10-PA	CDY41964.1
A01p00260.1_BnaDARv10-PA	CDY41965.1
A01p00270.1_BnaDARv10-PA	CDY41966.1
A01p00320.1_BnaDARv10-PA	CDY41971.1
A01p00330.1_BnaDARv10-PA	CDY41973.1
A01p00350.1_BnaDARv10-PA	CDY41976.1
A01p00370.1_BnaDARv10-PA	CDY41978.1
A01p00380.1_BnaDARv10-PA	CDY41979.1
A01p00390.1_BnaDARv10-PA	CDY41980.1
A01p00400.1_BnaDARv10-PA	CDY41981.1
A01p00440.1_BnaDARv10-PA	CDY41984.1
A01p00460.1_BnaDARv10-PA	CDY41986.1
A01p00510.1_BnaDARv10-PA	CDY41990.1
A01p00520.1_BnaDARv10-PA	CDY41991.1
A01p00540.1_BnaDARv10-PA	CDY41994.1
A01p00550.1_BnaDARv10-PA	CDY41995.1
A01p00570.1_BnaDARv10-PA	CDY41997.1
A01p00580.1_BnaDARv10-PA	CDY41998.1
A01p00590.1_BnaDARv10-PA	CDY41999.1
A01p00610.1_BnaDARv10-PA	CDY42001.1
A01p00620.1_BnaDARv10-PA	CDY42002.1
A01p00630.1_BnaDARv10-PA	CDY42003.1
A01p00660.1_BnaDARv10-PA	CDY42004.1
A01p00670.1_BnaDARv10-PA	CDY42005.1
A01p00730.1_BnaDARv10-PA	CDY68047.1
A01p00750.1_BnaDARv10-PA	CDY63903.1
A01p00760.1_BnaDARv10-PA	CDY63902.1
A01p00770.1_BnaDARv10-PA	CDY63901.1
A01p00780.1_BnaDARv10-PA	CDY63900.1
A01p00790.1_BnaDARv10-PA	CDY63899.1
